x,y,const_year,num_story,DS,vs30,Type,subregion
5.402895501776953,-4.514360499393609,1992,5,0,525,C,0
-6.905531887684278,6.930871434508813,1933,3,1,525,A,2
5.521547501777064,-2.767890499393792,1920,3,0,525,B,0
-4.858483227143203,1.8021555833954963,1929,5,0,525,A,2
-6.169872227143165,1.7245705833954972,2002,7,1,525,C,2
12.463865084941268,1.083753157245102,2001,5,0,525,C,1
5.051582501776835,-3.207890499393846,1939,6,2,525,A,0
8.99216255578472,5.545077032252042,1968,4,0,525,A,1
-5.138041887684553,6.38879843450874,1955,5,3,525,B,2
-5.019736887684134,5.636584434508645,1911,6,3,525,A,2
8.98379355578459,5.57768403225214,1989,4,1,525,C,1
9.331364555784834,4.382053032252092,1979,3,0,525,C,1
6.125342501776601,-3.941366499393729,1957,12,0,525,B,0
4.663435994263594,-11.520096325399368,1965,6,0,525,B,0
9.163618555784756,5.739040032251982,1997,3,0,525,C,1
-5.390846887684178,6.475102434508894,1740,3,3,525,A,2
-3.5814264409032024,2.400873113297376,1897,6,0,525,A,2
-2.977484440903469,0.8508871132973859,1986,5,0,525,C,2
10.369934084941384,0.8039931572452055,1956,6,0,525,A,1
-5.561933887684349,5.294506434508744,1927,3,3,525,A,2
3.6118865017769215,-4.318029499393736,1953,4,0,525,C,0
10.19204808494144,1.6806941572453449,2005,3,0,525,C,1
4.308911994263738,-9.266643325399333,1975,6,0,525,B,0
-4.532656227143085,0.1868425833954816,1318,3,0,525,A,2
-3.2221664409034805,3.3094721132974705,1971,4,3,525,B,2
4.650318501776752,-4.068926499393859,1966,4,1,525,A,0
10.3701875557847,3.145528032252063,1938,4,0,525,A,1
11.835653084941193,2.1418221572452616,1915,3,0,525,A,1
5.465307994263597,-10.306276325399429,1975,1,0,525,B,0
12.259115084941392,2.270846157245334,1959,3,0,525,B,1
12.37567708494155,4.466584157245226,1957,5,0,525,B,1
-5.44588822714342,-0.4505674166045637,1882,6,1,525,A,2
-5.325653227143099,0.9909895833953116,1997,6,1,525,C,2
-6.219101227143361,0.5959325833953599,1911,6,3,525,A,2
-5.783383227143182,0.9327205833954296,2006,6,1,525,C,2
-5.589209887684151,7.575791434508769,1894,6,1,525,A,2
-5.068306887684061,7.48269143450872,1894,5,1,525,A,2
-5.526905227143394,0.3082635833953091,1893,6,1,525,A,2
9.084123555784805,4.780381032252084,1924,2,0,525,B,1
-2.689601440903049,3.086580113297469,2006,3,0,525,C,2
-7.081139227143118,2.377936583395502,1924,2,2,525,A,2
-4.034230227143431,1.1684505833953054,1982,1,0,525,C,2
-4.531311227143411,0.2926655833953546,1812,5,1,525,A,2
-5.121620887684289,5.794602434508729,1928,3,3,525,A,2
9.89367308494159,0.7285521572452502,1948,2,0,525,A,1
11.929414084941731,4.668641157245194,2000,3,0,525,C,1
4.941402501777162,-2.995080499393856,1928,2,2,525,A,0
-5.5924242271431615,0.3750725833954575,1893,6,1,525,A,2
12.07158208494159,4.807568157245388,1996,3,0,525,C,1
10.446476555784788,4.8504250322521365,1945,5,0,525,A,1
9.34711055578487,6.144458032252263,1953,2,0,525,A,1
-4.053634227143099,1.8254005833955844,1967,4,1,525,A,2
-6.825501887684199,6.91460643450861,1934,3,1,525,A,2
7.061418994263434,-11.549960325399455,1923,2,0,525,A,0
4.517425994263661,-10.608501325399336,1969,4,1,525,A,0
-3.197047440903121,2.491606113297376,1895,8,2,525,A,2
10.606766084941434,0.9396701572451924,1934,3,1,525,A,1
12.69504926651006,-1.4420464152590533,2013,6,0,525,C,1
3.585805501776946,-4.235598499393921,1947,2,3,525,A,0
-5.540526887684168,7.158505434508665,1894,5,2,525,A,2
11.074031555784815,4.917564032252134,1980,4,0,525,B,1
6.889943994263334,-11.228312325399362,1951,4,0,525,B,0
-7.059706887683946,6.975475434508748,1953,2,3,525,A,2
-5.214877887684283,7.631801434508784,1888,5,1,525,A,2
10.96198208494136,1.2147341572453492,1921,3,0,525,A,1
4.950875501776778,-4.4153144993937925,1944,4,2,525,A,0
-3.2889324409033964,1.0199181132975177,1891,4,3,525,A,2
3.566479501776854,-4.24840149939377,1948,3,1,525,A,0
11.798961084941515,1.8522931572453596,1982,2,0,525,B,1
-5.977306887684167,5.1664224345088,2018,8,1,525,C,2
7.10678099426373,-10.774002325399511,1960,4,0,525,A,0
4.2311435017767565,-3.195698499393705,1928,4,1,525,A,0
-6.881079887684168,6.690008434508822,1949,2,0,525,B,2
11.494736084941202,2.122040157245184,1963,4,0,525,B,1
4.969322994263578,-10.238018325399413,1953,6,0,525,B,0
-5.266151887684204,6.81872643450853,1955,3,2,525,B,2
-4.589679227143384,2.022413583395327,1927,4,1,525,A,2
-3.480562440903201,2.791286113297456,1955,5,3,525,A,2
6.357858994263509,-9.268758325399336,1951,4,1,525,A,0
-3.4809334409032875,2.091821113297538,1881,5,1,525,A,2
4.6530185017767565,-5.025145499393778,1932,3,1,525,B,0
11.988655084941662,0.6879421572452351,1921,2,1,525,A,1
